hv000,hv001,hv005,hv007,wealth_index
SN8,1.0,1308253.0,2023.0,-1.3360656987639876
SN8,1.0,1308253.0,2023.0,-1.740586196748982
SN8,1.0,1308253.0,2023.0,-1.7269523370909827
SN8,1.0,1308253.0,2023.0,-2.2781378263575895
SN8,1.0,1308253.0,2023.0,-1.7327632901977594
SN8,1.0,1308253.0,2023.0,-1.1932568645205626
SN8,1.0,1308253.0,2023.0,-2.444540733238627
SN8,1.0,1308253.0,2023.0,-2.802366539414466
SN8,1.0,1308253.0,2023.0,-2.299918692182002
SN8,1.0,1308253.0,2023.0,-2.5681131747999713
SN8,1.0,1308253.0,2023.0,-1.218553189387008
SN8,1.0,1308253.0,2023.0,-2.2150349643562866
SN8,1.0,1308253.0,2023.0,-2.2709631909817056
SN8,1.0,1308253.0,2023.0,-1.5508218011799908
SN8,1.0,1308253.0,2023.0,-2.171502269410074
SN8,1.0,1308253.0,2023.0,-2.1323768016463043
SN8,1.0,1308253.0,2023.0,-2.2345716335077324
SN8,1.0,1308253.0,2023.0,-2.2212367274446634
SN8,1.0,1308253.0,2023.0,-1.7463525489709153
SN8,1.0,1308253.0,2023.0,-1.6472215390090263
SN8,2.0,3751585.0,2023.0,-2.331968470476614
SN8,2.0,3751585.0,2023.0,-2.0426185272946817
SN8,2.0,3751585.0,2023.0,-1.182902590186135
SN8,2.0,3751585.0,2023.0,-1.975307618301009
SN8,2.0,3751585.0,2023.0,-2.7781029170904366
SN8,2.0,3751585.0,2023.0,-2.21008212175383
SN8,2.0,3751585.0,2023.0,-2.9126791768596827
SN8,2.0,3751585.0,2023.0,-1.870106213647298
SN8,2.0,3751585.0,2023.0,-2.6856210781673804
SN8,2.0,3751585.0,2023.0,-2.0494264145169088
SN8,2.0,3751585.0,2023.0,-0.8277029143383693
SN8,2.0,3751585.0,2023.0,-1.9551838527067127
SN8,2.0,3751585.0,2023.0,-2.653606550952556
SN8,2.0,3751585.0,2023.0,-2.4457094972019005
SN8,2.0,3751585.0,2023.0,-2.182782351382022
SN8,2.0,3751585.0,2023.0,-2.552056388354598
SN8,2.0,3751585.0,2023.0,-1.772624833327993
SN8,2.0,3751585.0,2023.0,-1.9076978460280127
SN8,2.0,3751585.0,2023.0,-2.421152147444186
SN8,2.0,3751585.0,2023.0,-2.6568986047416794
SN8,2.0,3751585.0,2023.0,-2.4456480340049818
SN8,2.0,3751585.0,2023.0,-2.4630723302515203
SN8,3.0,1428023.0,2023.0,-1.9010596462186102
SN8,3.0,1428023.0,2023.0,-2.2741271763935136
SN8,3.0,1428023.0,2023.0,-2.0073648984806134
SN8,3.0,1428023.0,2023.0,-1.9010065926854318
SN8,3.0,1428023.0,2023.0,-1.9536332699648327
SN8,3.0,1428023.0,2023.0,-2.0950917994947473
SN8,3.0,1428023.0,2023.0,-2.3236721500893536
SN8,3.0,1428023.0,2023.0,-1.827690137662062
SN8,3.0,1428023.0,2023.0,-2.225837347982231
SN8,3.0,1428023.0,2023.0,-2.01334124998963
SN8,3.0,1428023.0,2023.0,-2.3594863964939576
SN8,3.0,1428023.0,2023.0,-2.0397936885836905
SN8,3.0,1428023.0,2023.0,-2.345905184443998
SN8,3.0,1428023.0,2023.0,-2.174011206427928
SN8,3.0,1428023.0,2023.0,-1.3534994592832423
SN8,3.0,1428023.0,2023.0,-1.3060635082022514
SN8,3.0,1428023.0,2023.0,-1.8641367595409843
SN8,3.0,1428023.0,2023.0,-2.3143281178019945
SN8,3.0,1428023.0,2023.0,-2.246859407280656
SN8,4.0,2489214.0,2023.0,-2.568730507268509
SN8,4.0,2489214.0,2023.0,-2.082504166571909
SN8,4.0,2489214.0,2023.0,-2.1984543504104335
SN8,4.0,2489214.0,2023.0,-1.6843276755005345
SN8,4.0,2489214.0,2023.0,-1.93359860413461
SN8,4.0,2489214.0,2023.0,-1.7053763185467459
SN8,4.0,2489214.0,2023.0,-0.6387487340416826
SN8,4.0,2489214.0,2023.0,-2.9003220134295207
SN8,4.0,2489214.0,2023.0,-2.11615684798965
SN8,4.0,2489214.0,2023.0,-1.6671579476477807
SN8,4.0,2489214.0,2023.0,-2.4421116207118456
SN8,4.0,2489214.0,2023.0,-2.2377974112493084
SN8,4.0,2489214.0,2023.0,-2.5835142198279595
SN8,4.0,2489214.0,2023.0,-0.8745062571551684
SN8,4.0,2489214.0,2023.0,-2.3535913198956178
SN8,5.0,1418439.0,2023.0,-2.877526827656393
